lei,bic,legalName,countryCode
2138004XALS1KSCRMG03,HEOOGB21XXX,"HENDERSON ROWE LIMITED",GB
213800RX1KLNLPQLJ878,DSURVECPXXX,"DEL SUR BANCO UNIVERSAL, C.A.",VE
213800PKEJQZQXQCOJ04,RDBNGB21XXX,"REDBURN (EUROPE) LIMITED",GB
2138005NRPF24GXXZP31,ADVCGB21XXX,"ADVICORP PUBLIC LIMITED COMPANY",GB
213800FXT8YDQ67AE287,AXVCCY21XXX,"AXIA VENTURES GROUP LTD",CY
213800DB989O3GDI6V19,ORUNGB2LXXX,"IPAGOO LLP",GB
2138005I443DGTD2RC28,BCMMNOB1XXX,"BERGEN CAPITAL MANAGEMENT AS",NO
213800W773FZ1SG95202,MCWOGB21XXX,"MCINROY ",GB
213800XT6AISSCI7CZ83,CALYGB21XXX,"CAMPBELL LUTYENS ",GB
213800N9IIJR149KZ535,JNBSJMKNXXX,"JN BANK LIMITED",JM
2138009D5LO4NW85DK68,CHSMGB21XXX,"CHELVERTON ASSET MANAGEMENT LIMITED",GB
213800J3MPR8KO94D535,BURBGB3LXXX,"BURBERRY LIMITED",GB
